order,ctr_bias,cvr_bias,exposure_cnt,click_cnt,active_cnt
1,0.7617723339215845,1.4279705576027477,109471427195747,2240818287788,281523784348
7,0.8791246585940508,1.7666631723720292,232648549239,7812845303,528522913
3,0.7749581103500877,1.516348102909005,30561117009430,663650927205,83725943064
0,0.7832389093099741,1.4244374951278345,109471427195747,2240818287788,281523784348
4,0.8059249867584432,1.6014095609697265,8779772694869,207021027725,24973084035
6,0.8700744056811252,1.6953500399588954,783653337814,23462468242,2043720729
2,0.750182732199697,1.4135635053823563,109471427195747,2240818287788,281523784348
9,0.8743407735958652,1.6535548530526925,10792899468,389166352,17291906
8,0.8732075479374741,1.7254749697106484,60876784684,2217626275,113416012
5,0.8437024686532048,1.6675957355063922,2592420300414,68382088924,7265695603
