site_id,order,pctr,click_cnt,exposure_cnt,ctr_bias
70702022115052,0,164857.25211861246,177391,11499608,-0.07065605290791266
70702022115052,1,148825.70769251048,135280,11497612,0.10013089660341867
70702022115052,4,416.8064425008488,408,13630,0.021584417894237262
70506421868294,1,569692.9690712409,500598,38945519,0.13802486040943207
70506421868294,2,71568.2220086094,61836,4795262,0.15738763840819914
70506421868294,3,7253.531603290765,6142,507486,0.1809722571297241
70702022115052,2,12133.231600817147,11126,881379,0.09052953449731693
70702022115052,3,1540.5928170124243,1463,81234,0.05303678538101453
70506421868294,0,620307.3292329477,656535,38954111,-0.055180105808604774
70506421868294,4,456.5178879456314,418,34708,0.09214805728619946
